"","bin","genus_explanation","genus_type","nyslægt","genus_nameing","popup_html","latitude","longitude","city_dk","taxonomy_proposed"
"1","MFD04651.bin.1.17","Microbe found nearby Adslev","Y","Ja","<b>Forklaring:</b> Bakterien er navngivet efter Adslev   <br/>","<b>Bakteriens navn:</b> Adslevivita vicina<br/>
     <b>Findested:</b> Ferskvand (Rindende ferskvand) <br/>
      <b> Ny slægt:</b> Ja <b> Ny art:</b> Ja <br/>
      <b>Forklaring:</b> Bakterien er navngivet efter Adslev   <br/>",56.1124,9.996,"Adslev","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Adslevivita;s__Adslevivita vicina"
"2","MFD04967.bin.1.6","Microbe found nearby AEroskobing","Y","Ja","<b>Forklaring:</b> Bakterien er navngivet efter Ærøskøbing (AEroskobing) <br/>","<b>Bakteriens navn:</b> Aeroskobingiana terrea<br/>
     <b>Findested:</b> Skove (Tempererede skove) <br/>
      <b> Ny slægt:</b> Ja <b> Ny art:</b> Ja <br/>
      <b>Forklaring:</b> Bakterien er navngivet efter Ærøskøbing (AEroskobing) <br/>",54.8533,10.5207,"Ærøskøbing","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Alstediellaceae;g__Aeroskobingiana;s__Aeroskobingiana terrea"
"3","MFD01721.bin.1.124","Microbe found nearby Agedrup","Y","Ja","<b>Forklaring:</b> Bakterien er navngivet efter Agedrup   <br/>","<b>Bakteriens navn:</b> Agedrupimicrobium glebicum<br/>
     <b>Findested:</b> Kystområder (Kveller-vade) <br/>
      <b> Ny slægt:</b> Ja <b> Ny art:</b> Ja <br/>
      <b>Forklaring:</b> Bakterien er navngivet efter Agedrup   <br/>",55.4485,10.5019,"Agedrup","d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__Agedrupimicrobiaceae;g__Agedrupimicrobium;s__Agedrupimicrobium glebicum"
"4","MFD03804.bin.1.34","Microbe found nearby Agger","Y","Ja","<b>Forklaring:</b> Bakterien er navngivet efter Agger   <br/>","<b>Bakteriens navn:</b> Aggericoccus scandius<br/>
     <b>Findested:</b> Ferskvand (Lukkede vandområder) <br/>
      <b> Ny slægt:</b> Ja <b> Ny art:</b> Ja <br/>
      <b>Forklaring:</b> Bakterien er navngivet efter Agger   <br/>",56.6925,8.2025,"Agger","d__Bacteria;p__Krumholzibacteriota;c__Krumholzibacteria;o__Krumholzibacteriales;f__Krumholzibacteriaceae;g__Aggericoccus;s__Aggericoccus scandius"
"5","MFD09267.bin.1.353","Microbe found nearby Aggersborg","Y","Ja","<b>Forklaring:</b> Bakterien er navngivet efter Aggersborg   <br/>","<b>Bakteriens navn:</b> Aggersborgimen humicum<br/>
     <b>Findested:</b> Græsland (Tørre sandede kalkgræsmarker) <br/>
      <b> Ny slægt:</b> Ja <b> Ny art:</b> Ja <br/>
      <b>Forklaring:</b> Bakterien er navngivet efter Aggersborg   <br/>",56.98291,9.28746,"Aggersborg","d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Maglebybacteriaceae;g__Aggersborgimen;s__Aggersborgimen humicum"
"6","MFD01721.bin.1.108","Microbe found nearby Aggersborg","N","Nej"," ","<b>Bakteriens navn:</b> Aggersborgimen terrestre<br/>
     <b>Findested:</b> Kystområder (Kveller-vade) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",55.4485,10.5019,"Aggersborg","d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Maglebybacteriaceae;g__Aggersborgimen;s__Aggersborgimen terrestre"
"7","MFD04944.bin.1.10","Microbe found nearby Aggersborg","N","Nej"," ","<b>Bakteriens navn:</b> Aggersborgimen telluricum<br/>
     <b>Findested:</b> Græsland (Artsrig nardus-bjergeng) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",54.9596,10.5752,"Aggersborg","d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Maglebybacteriaceae;g__Aggersborgimen;s__Aggersborgimen telluricum"
"8","MFD04944.bin.c.1","Microbe found nearby Aggersborg","N","Nej"," ","<b>Bakteriens navn:</b> Aggersborgimen contiguum<br/>
     <b>Findested:</b> Græsland (Artsrig nardus-bjergeng) <br/>
      <b> Ny slægt:</b> Nej <b> Ny art:</b> Ja <br/>
       ",54.9596,10.5752,"Aggersborg","d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__Maglebybacteriaceae;g__Aggersborgimen;s__Aggersborgimen contiguum"
"9","MFD02840.bin.1.7","Microbe found nearby Akirkeby","Y","Ja","<b>Forklaring:</b> Bakterien er navngivet efter Aakirkeby (Akirkeby) <br/>","<b>Bakteriens navn:</b> Akirkebyaba affinis<br/>
     <b>Findested:</b> Kystområder (Havklinter og stenede strande) <br/>
      <b> Ny slægt:</b> Ja <b> Ny art:</b> Ja <br/>
      <b>Forklaring:</b> Bakterien er navngivet efter Aakirkeby (Akirkeby) <br/>",55.0595,14.7807,"Aakirkeby","d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Alstediellaceae;g__Akirkebyaba;s__Akirkebyaba affinis"
"10","MFD01916.bin.c.1","Microbe found nearby Albaek","Y","Ja","<b>Forklaring:</b> Bakterien er navngivet efter Albæk (Albaek) <br/>","<b>Bakteriens navn:</b> Albaekimicrobium telluricum<br/>
     <b>Findested:</b> Klitter (Faste klitter (grå klitter)) <br/>
      <b> Ny slægt:</b> Ja <b> Ny art:</b> Ja <br/>
      <b>Forklaring:</b> Bakterien er navngivet efter Albæk (Albaek) <br/>",57.5446,10.4385,"Albæk","d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Pyrinomonadales;f__Pyrinomonadaceae;g__Albaekimicrobium;s__Albaekimicrobium telluricum"
